Areaname,STCOU,EAN010201F,EAN010201D,EAN010201N1,EAN010201N2,EAN010202F,EAN010202D,EAN010202N1,EAN010202N2,EAN010203F,EAN010203D,EAN010203N1,EAN010203N2,EAN010204F,EAN010204D,EAN010204N1,EAN010204N2,EAN010205F,EAN010205D,EAN010205N1,EAN010205N2,EAN010206F,EAN010206D,EAN010206N1,EAN010206N2,EAN010207F,EAN010207D,EAN010207N1,EAN010207N2,EAN012204F,EAN012204D,EAN012204N1,EAN012204N2,EAN012205F,EAN012205D,EAN012205N1,EAN012205N2,EAN012206F,EAN012206D,EAN012206N1,EAN012206N2,EAN012207F,EAN012207D,EAN012207N1,EAN012207N2
UNITED STATES,00000,0,6704767000,0000,0000,0,6851318000,0000,0000,0,7108923000,0000,0000,0,7567463000,0000,0000,0,7969910000,0000,0000,0,8432750000,0000,0000,0,8848240000,0000,0000,0,44381,0000,0000,0,45744,0000,0000,0,47424,0000,0000,0,48900,0000,0000
ALABAMA,01000,0,80786139,0000,0000,0,83361055,0000,0000,0,87126582,0000,0000,0,92886339,0000,0000,0,98255950,0000,0000,0,103743714,0000,0000,0,107728492,0000,0000,0,37718,0000,0000,0,38883,0000,0000,0,40248,0000,0000,0,41148,0000,0000
"Autauga, AL",01001,0,466115,0000,0000,0,461477,0000,0000,0,488043,0000,0000,0,508323,0000,0000,0,526982,0000,0000,0,549828,0000,0000,0,568075,0000,0000,0,28417,0000,0000,0,28732,0000,0000,0,29963,0000,0000,0,29938,0000,0000
"Baldwin, AL",01003,0,1783548,0000,0000,0,1856142,0000,0000,0,1993108,0000,0000,0,2178472,0000,0000,0,2416450,0000,0000,0,2674045,0000,0000,0,2828857,0000,0000,0,27604,0000,0000,0,29061,0000,0000,0,30597,0000,0000,0,30772,0000,0000
"Barbour, AL",01005,0,435634,0000,0000,0,428650,0000,0000,0,425181,0000,0000,0,448770,0000,0000,0,475301,0000,0000,0,477530,0000,0000,0,487155,0000,0000,0,31626,0000,0000,0,32481,0000,0000,0,32623,0000,0000,0,34119,0000,0000
"Bibb, AL",01007,0,143372,0000,0000,0,147558,0000,0000,0,156425,0000,0000,0,172843,0000,0000,0,184595,0000,0000,0,194358,0000,0000,0,209721,0000,0000,0,27726,0000,0000,0,28847,0000,0000,0,29901,0000,0000,0,31274,0000,0000
"Blount, AL",01009,0,383627,0000,0000,0,363801,0000,0000,0,386353,0000,0000,0,412676,0000,0000,0,434741,0000,0000,0,441495,0000,0000,0,457135,0000,0000,0,23457,0000,0000,0,23543,0000,0000,0,23568,0000,0000,0,23779,0000,0000
"Bullock, AL",01011,0,112918,0000,0000,0,113606,0000,0000,0,117417,0000,0000,0,123024,0000,0000,0,128432,0000,0000,0,131598,0000,0000,0,139018,0000,0000,0,26675,0000,0000,0,28389,0000,0000,0,29559,0000,0000,0,31710,0000,0000
"Butler, AL",01013,0,250277,0000,0000,0,252531,0000,0000,0,264130,0000,0000,0,283083,0000,0000,0,282064,0000,0000,0,289459,0000,0000,0,316618,0000,0000,0,29767,0000,0000,0,28720,0000,0000,0,28628,0000,0000,0,31175,0000,0000
"Calhoun, AL",01015,0,1786512,0000,0000,0,1877845,0000,0000,0,1993382,0000,0000,0,2181036,0000,0000,0,2318918,0000,0000,0,2449240,0000,0000,0,2639194,0000,0000,0,34219,0000,0000,0,35967,0000,0000,0,37657,0000,0000,0,39594,0000,0000
