"Fact","Fact Note","Cook County, Illinois","Value Note for Cook County, Illinois"
"Population estimates, July 1, 2018,  (V2018)","","NA",""
"Population estimates, July 1, 2017,  (V2017)","","5,211,263",""
"Population estimates base, April 1, 2010,  (V2018)","","NA",""
"Population estimates base, April 1, 2010,  (V2017)","","5,195,075",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","NA",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","0.3%",""
"Population, Census, April 1, 2010","","5,194,675",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","22.0%",""
"Persons 65 years and over, percent","","14.3%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","65.6%",""
"Black or African American alone, percent","(a)","24.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.7%",""
"Asian alone, percent","(a)","7.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent","(b)","25.5%",""
"White alone, not Hispanic or Latino, percent","","42.3%",""
"Veterans, 2013-2017","","172,838",""
"Foreign born persons, percent, 2013-2017","","21.1%",""
"Housing units,  July 1, 2017,  (V2017)","","2,193,073",""
"Owner-occupied housing unit rate, 2013-2017","","56.9%",""
"Median value of owner-occupied housing units, 2013-2017","","$227,400",""
"Median selected monthly owner costs -with a mortgage, 2013-2017","","$1,847",""
"Median selected monthly owner costs -without a mortgage, 2013-2017","","$713",""
"Median gross rent, 2013-2017","","$1,044",""
"Building permits, 2017","","11,595",""
"Households, 2013-2017","","1,956,561",""
"Persons per household, 2013-2017","","2.63",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","","86.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","","35.1%",""
"Households with a computer, percent, 2013-2017","","85.9%",""
"Households with a broadband Internet subscription, percent, 2013-2017","","76.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2013-2017","","86.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","","37.2%",""
"With a disability, under age 65 years, percent, 2013-2017","","6.6%",""
"Persons  without health insurance, under age 65 years, percent","","9.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2013-2017","","65.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2013-2017","","60.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","14,553,105",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","39,639,868",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","79,526,980",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","100,829,550",""
"Total retail sales, 2012 ($1,000)","(c)","62,767,358",""
"Total retail sales per capita, 2012","(c)","$11,998",""
"Mean travel time to work (minutes), workers age 16 years+, 2013-2017","","32.9",""
"Median household income (in 2017 dollars), 2013-2017","","$59,426",""
"Per capita income in past 12 months (in 2017 dollars), 2013-2017","","$33,722",""
"Persons in poverty, percent","","14.6%",""
"Total employer establishments, 2016","","133,150",""
"Total employment, 2016","","2,401,662",""
"Total annual payroll, 2016 ($1,000)","","145,680,137",""
"Total employment, percent change, 2015-2016","","1.7%",""
"Total nonemployer establishments, 2016","","483,757",""
"All firms, 2012","","549,686",""
"Men-owned firms, 2012","","291,278",""
"Women-owned firms, 2012","","216,929",""
"Minority-owned firms, 2012","","216,374",""
"Nonminority-owned firms, 2012","","319,115",""
"Veteran-owned firms, 2012","","38,665",""
"Nonveteran-owned firms, 2012","","495,450",""
"Population per square mile, 2010","","5,495.1",""
"Land area in square miles, 2010","","945.33",""
"FIPS Code","","""17031""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
