State/County FIPS,State FIPS,County FIPS,County Name,State Name,"Total",Margin of Error (+/-)
'01073','01','073',"Jefferson County",Alabama,43,40
'01081','01','081',"Lee County",Alabama,0,27
'01089','01','089',"Madison County",Alabama,5,7
'01097','01','097',"Mobile County",Alabama,75,96
'01117','01','117',"Shelby County",Alabama,0,27
'02020','02','020',"Anchorage Municipality",Alaska,16,28
'02110','02','110',"Juneau City and Borough",Alaska,10,15
'04001','04','001',"Apache County",Arizona,0,28
'04003','04','003',"Cochise County",Arizona,0,28
'04005','04','005',"Coconino County",Arizona,0,28
'04013','04','013',"Maricopa County",Arizona,394,187
'04015','04','015',"Mohave County",Arizona,3,5
'04019','04','019',"Pima County",Arizona,132,133
'04021','04','021',"Pinal County",Arizona,0,28
'04025','04','025',"Yavapai County",Arizona,53,64
'04027','04','027',"Yuma County",Arizona,48,77
'05007','05','007',"Benton County",Arkansas,27,44
'05065','05','065',"Izard County",Arkansas,13,24
'05085','05','085',"Lonoke County",Arkansas,0,27
'06001','06','001',"Alameda County",California,10791,1127
'06003','06','003',"Alpine County",California,3,6
'06005','06','005',"Amador County",California,5,8
'06007','06','007',"Butte County",California,4,8
'06009','06','009',"Calaveras County",California,26,28
'06011','06','011',"Colusa County",California,0,22
'06013','06','013',"Contra Costa County",California,4085,631
'06017','06','017',"El Dorado County",California,38,32
'06019','06','019',"Fresno County",California,110,81
'06021','06','021',"Glenn County",California,0,22
'06023','06','023',"Humboldt County",California,81,56
'06029','06','029',"Kern County",California,125,83
'06031','06','031',"Kings County",California,28,26
'06033','06','033',"Lake County",California,73,61
'06035','06','035',"Lassen County",California,9,10
'06037','06','037',"Los Angeles County",California,3726,547
'06039','06','039',"Madera County",California,17,49
'06041','06','041',"Marin County",California,2859,525
'06043','06','043',"Mariposa County",California,0,19
'06045','06','045',"Mendocino County",California,151,125
'06047','06','047',"Merced County",California,168,92
'06053','06','053',"Monterey County",California,233,142
'06055','06','055',"Napa County",California,257,112
'06057','06','057',"Nevada County",California,100,100
'06059','06','059',"Orange County",California,715,228
'06061','06','061',"Placer County",California,242,125
'06065','06','065',"Riverside County",California,513,287
'06067','06','067',"Sacramento County",California,1355,385
'06069','06','069',"San Benito County",California,9,11
